SPEC,VAREA,FAREA,SAREA,DAREA,MVWIDTH,MFWIDTH,MSWIDTH,MVCON,MFCON,CVWIDTH,CFWIDTH,CSWIDTH,CVCON,CFCON,B,CCP,CLS,COP,G,HCP,HCS,HLS,HOP,HSH,HSS,HSW,HW,MCP,MCS,MGF,MLS,MOP,MOS,MSH,NPATCH,MPSIZE,MPSHAPE,MPFRAC,CPSIZE,TEDGE,LFRAC,PRICH,SHANNON,SIMPSON,SHEVEN,SIEVEN,AMPSHP,CONEDGE,NOBLOCKS
AMGO,1.392333333,1.388666667,0.051133333,659.4,155.33,154.4866667,5.166666667,0.0522,0.057666667,8.423711917,9.79304242,9.270065628,10.98577584,11.69785332,0.003333333,0,0,0,0,0.050333333,0,27,13,0.004666667,0.036666667,0.39,0.432666667,14,0,0,0.001333333,27,0,0,3.5,0.301111111,1.381871117,1.451983924,95.66870923,193.7666667,1.133541786,3.166666667,0.352377033,0.485613333,0.709836525,0.717533333,1.331504952,22.66666667,10
AMRO,0.589289941,0.54816568,0.050177515,363.1597633,61.82840237,57.6408284,5.121893491,0.170420118,0.193295858,20.57953786,21.06498632,10.74103333,26.01622168,23.90897831,0.044911243,0.002721893,0.051420118,0.002781065,0.022781065,0.092840237,0.003195266,0.124792899,0.064911243,0.013905325,0.06183432,0.106568047,0.105443787,0.036568047,0.001656805,0.01556213,0.191242604,0.037337278,0.016153846,0.003372781,4.372781065,0.259641213,1.390367058,1.446741029,96.48809688,253.2840237,1.184827502,3.73964497,0.407836573,0.525592899,0.742898343,0.748104043,1.37516971,36.29852071,76
BAEA,0.6,0.6,58,612,59.6,59.6,6,102,102,3.809706122,3.809706122,0,4.133696288,4.133696288,0,0,0,0,0,0,0,0.05,0.21,0.14,0.03,0.57,0,0,0,0,0,0,0,0,5,0.2,1.409760789,1.46241331,109.5445115,285,1.22742243,5,0.511765218,608,0.7321705,0.76,1.320186646,20.8,1
BCCH,0.874583333,0.864166667,0.055354167,591625,93.19375,91.81666667,5.547916667,0.115479167,0.122145833,19.8220106,17.68179149,7.846196937,21.50151922,20.01858941,0.021041667,0.001875,0.022083333,0.002291667,0.000416667,0.128333333,0.014375,0.071041667,0.055625,0.019375,0.077291667,0.29125,0.181666667,0.014791667,0,0.019583333,0.035208333,0.040833333,0.002916667,0,4.5625,0.242956349,1.374340605,1.442947374,88.31841226,263.6875,1.198979997,3.791666667,0.450322712,0.580266667,0.793660692,0.805756875,1.354520029,28.10104167,23
BEKI,0.354285714,0.347142857,0.070142857,379.1428571,36.51428571,35.41428571,7.114285714,0.271857143,0.285428571,21.61512504,25.3148804,13.43590651,25.38853417,36.35024396,0.084285714,0,0.05,0.022857143,0.067142857,0,0,0.251428571,0.151428571,0.031428571,0.081428571,0,0.05,0.022857143,0.02,0,0.107142857,0.06,0,0,5.857142857,0.193253968,1.359147722,1.458305359,104.0416664,311.4285714,1.235262009,4.571428571,0.491236883,0.599085714,0.746443979,0.776823333,1.362299635,57.48571429,7
BEWR,0.705833333,0.693333333,0.065333333,526.5416667,77.65833333,75.98333333,6.566666667,0.161083333,0.16475,17.17519585,17.06341142,11.10058775,21.21746252,21.27206485,0.040833333,0.002916667,0,0.000416667,0.003333333,0.133333333,0.008333333,0.01375,0.114166667,0.074583333,0.031666667,0.2475,0.182083333,0.015416667,0.011666667,0,0.00125,0.099166667,0.0175,0.002083333,4.541666667,0.238988095,1.422067804,1.454591407,93.2334275,267.7916667,1.202170087,4.291666667,0.481111704,0.586175,0.776401947,0.780097083,1.340701496,30.29791667,16
BGWA,0.395714286,0.299285714,0.054214286,412.2857143,39.32142857,30.2,5.471428571,0.224714286,0.265785714,29.22531949,29.34717805,3.429108477,33.8471596,34.46504039,0.031428571,0.009285714,0.072142857,0.007857143,95,0.111428571,0,0.214285714,0.220714286,0,0.012857143,0.051428571,0.036428571,0.052142857,0,0,0.052142857,0.032857143,0,0,5.714285714,0.195294785,1.327560967,1.44282448,95.58621902,311.8571429,1.240422696,5.071428571,0.541836774,0.635985714,0.777603035,0.800849524,1.322913901,52.43928571,11
BHGR,0.461557971,0.418949275,0.049753623,383.7355072,47.79746377,43.43478261,5.056521739,0.171485507,0.196206522,21.44992627,21.13353381,9.745711718,24.55140581,24.52766042,0.057210145,0.009565217,0.043152174,0.002934783,0.012210145,0.108115942,0.012318841,0.159311594,0.094673913,0.017246377,0.068478261,0.100688406,0.052862319,0.013478261,0.000507246,0.006956522,0.189601449,0.031376812,0.011086957,0.008514493,4.760869565,0.238191569,1.387891389,1.448813226,98.11958476,275.6268116,1.204333901,3.967391304,0.440484196,0.551902174,0.75236235,0.756566643,1.364260041,45.48134058,101
BRCR,0.258395062,0.212962963,0.034407407,203.7160494,25.9962963,21.36049383,3.571604938,0.246296296,0.270259259,23.97010538,22.85930048,13.40807724,30.69034659,29.2236103,0.023580247,0.001234568,0.221728395,0,0,0.014691358,0,0.140493827,0.011728395,0,0.022469136,0.000987654,0.017037037,0.000864198,0,0.011604938,0.527407407,0.004074074,0.001234568,0.000864198,3.716049383,0.357569077,1.406467668,1.440521752,97.62214845,214.5802469,1.060934342,2.777777778,0.284414009,0.390812346,0.653366985,0.634270329,1.351705526,23.30123457,44
BTPI,0.585319149,0.51787234,0.055319149,404.0851064,58.76595745,51.88085106,5.557446809,0.155574468,0.187170213,19.78074994,22.10833579,9.328353051,25.03638922,28.34758548,0.059148936,0.005744681,0.017446809,0.002340426,0.014255319,0.153404255,0.010851064,0.204042553,0.06,0.029787234,0.037659574,0.108510638,0.097446809,0.025744681,0.002978723,0,0.08893617,0.064468085,0.010638298,0.006595745,4.765957447,0.236052009,1.398062053,1.449623829,95.28986002,287.3191489,1.217298546,4.255319149,0.466201573,0.57667234,0.75367786,0.768040355,1.401852612,44.42234043,38
